record_id,station_name,latitude,longitude,region,measurement_date,depth_m,temperature_c,salinity_psu,ph_level,dissolved_oxygen_ml_l,nitrate_mg_l,phosphate_mg_l,chlorophyll_a_mg_m3,turbidity_ntu,data_source,quality_flag
OCE00001,Arabian Sea Station 1,20.04320999464843,70.04124923251105,Arabian Sea,2023-12-27,0,31.68,35.33,8.1,6.69,0.635,0.484,0.114,9.53,CTD Cast,Good
OCE00002,Arabian Sea Station 1,20.066914358051125,70.0870969027055,Arabian Sea,2023-12-27,50,27.96,34.52,7.91,4.7,1.441,0.267,0.818,3.19,CTD Cast,Good
OCE00003,Arabian Sea Station 1,20.093615276290148,69.98934290545171,Arabian Sea,2023-12-27,100,21.86,35.49,7.77,3.23,1.409,0.518,0.118,7.77,CTD Cast,Good
OCE00004,Arabian Sea Station 1,20.06348156946122,70.05140962293973,Arabian Sea,2023-12-27,200,16.73,34.91,7.96,3.5,3.532,0.71,0.457,1.31,CTD Cast,Good
OCE00005,Arabian Sea Station 1,20.081835052810717,69.962775615303,Arabian Sea,2024-01-29,0,26.04,34.32,8.07,7.03,0.865,0.448,1.354,10.52,CTD Cast,Good
OCE00006,Arabian Sea Station 1,20.04698516947898,70.00629098283787,Arabian Sea,2024-01-29,50,25.09,34.34,7.85,5.36,1.417,0.524,0.416,4.68,CTD Cast,Fair
OCE00007,Arabian Sea Station 1,20.08048260665722,69.96879153731153,Arabian Sea,2024-01-29,100,22.46,34.55,7.99,4.08,1.412,0.302,0.296,11.13,CTD Cast,Good
OCE00008,Arabian Sea Station 1,19.965358941171555,69.90216221672704,Arabian Sea,2024-01-29,200,19.61,35.6,8.03,3.13,3.348,0.854,0.23,12.48,CTD Cast,Good
OCE00009,Arabian Sea Station 1,19.913446836018114,70.01896947590038,Arabian Sea,2024-03-01,0,30.81,34.16,8.03,7.16,0.326,0.491,0.401,11.21,CTD Cast,Good
OCE00010,Arabian Sea Station 1,20.087663145730264,70.06374804589682,Arabian Sea,2024-03-01,50,24.13,35.04,7.99,4.76,0.928,0.406,0.733,14.76,CTD Cast,Good
OCE00011,Arabian Sea Station 1,19.991585798886806,69.94530432520722,Arabian Sea,2024-03-01,100,21.3,35.55,7.92,3.87,1.196,0.274,0.361,9.4,CTD Cast,Good
OCE00012,Arabian Sea Station 1,19.97251195931182,70.06114290513365,Arabian Sea,2024-03-01,200,16.77,35.07,7.84,3.65,3.659,0.665,0.208,5.26,CTD Cast,Good
OCE00013,Arabian Sea Station 1,20.06168114777874,70.06472472214979,Arabian Sea,2024-03-28,0,27.25,34.13,7.99,7.21,1.698,0.15,0.633,6.08,CTD Cast,Fair
OCE00014,Arabian Sea Station 1,19.9065318121569,69.9951192383644,Arabian Sea,2024-03-28,50,25.84,34.5,8.15,4.8,2.374,0.458,1.157,6.41,CTD Cast,Good
OCE00015,Arabian Sea Station 1,19.9232716970329,70.0225591671073,Arabian Sea,2024-03-28,100,20.81,35.08,8.14,4.41,2.458,0.281,0.238,14.11,CTD Cast,Good
OCE00016,Arabian Sea Station 1,20.022366204020646,69.97469158902653,Arabian Sea,2024-03-28,200,19.63,34.32,7.84,3.1,2.866,0.825,0.417,4.2,CTD Cast,Fair
OCE00017,Arabian Sea Station 1,19.936355773443474,69.93136254106336,Arabian Sea,2024-05-06,0,26.64,34.53,7.97,7.69,1.351,0.082,0.653,12.5,CTD Cast,Good
OCE00018,Arabian Sea Station 1,20.046297271940624,70.09162360178388,Arabian Sea,2024-05-06,50,24.17,34.68,7.84,6.7,1.658,0.254,1.104,3.7,CTD Cast,Good
OCE00019,Arabian Sea Station 1,20.006258803670185,70.03548761424565,Arabian Sea,2024-05-06,100,24.43,35.5,8.12,4.59,2.297,0.431,0.389,6.71,CTD Cast,Good
OCE00020,Arabian Sea Station 1,19.97580809707661,70.08301214650345,Arabian Sea,2024-05-06,200,20.12,35.44,7.76,3.67,3.127,0.83,0.244,4.14,CTD Cast,Fair
OCE00021,Arabian Sea Station 1,19.95439972106887,69.90127580868132,Arabian Sea,2024-05-27,0,31.07,34.73,8.01,6.77,1.189,0.196,0.155,14.69,CTD Cast,Good
OCE00022,Arabian Sea Station 1,19.980042455169933,70.0566595965912,Arabian Sea,2024-05-27,50,27.86,34.64,8.07,5.36,1.875,0.512,1.904,4.36,CTD Cast,Good
